"COD_ACTIVIDAD";"DESCRIPCION";"ACTIVO";"COD_GRUPO"
7;ALBERGUE TRANSITORIO          ;S;
8;ABERTURAS                     ;S;
13;ARTS.  DEL HOGAR              ;S;
14;ASERRADEROS                   ;S;
15;AUTOMOTORES                   ;S;
16;AUTOSERVICIOS                 ;S;
17;AGENCIA QUINIELA,LOT.Y PRODE  ;S;
18;ART. ALIMENTICIOS             ;S;
19;AMBULANTES                    ;S;
20;ATMOSFERICO                   ;S;
21;BANCO                         ;S;
22;BATERIAS                      ;S;
23;BAR Y/O CANTINA               ;S;
24;BAZAR                         ;S;
25;BICICLETERIA                  ;S;
26;BIJOUTERIE                    ;S;
30;BOUTIQUE                      ;S;
31;BULONERIA                     ;S;
35;CENTRO DE REHABILITACION      ;S;
37;CAMARA FRIGORIFICA            ;S;
39;CONSULTORIO                   ;S;
40;CARNICERIA                    ;S;
41;CAMPIG - PESCA                ;S;
42;CABINA TELEFONICA             ;S;
43;CARPINTERIA                   ;S;
46;COMPUTACION                   ;S;
47;CERRAJERIA                    ;S;
48;CONFITERIA BAILABLE           ;S;
49;CLUB                          ;S;
50;COMPRA - VENTA                ;S;
51;CONFITERIA                    ;S;
52;CORRALON                      ;S;
53;COTILLON                      ;S;
54;CRIADERO                      ;S;
55;CHACARITA                     ;S;
56;COCHERA                       ;S;
57;COMPOSTURA DE CALZADO         ;S;
58;CUADROS O POSTERS             ;S;
59;COLONIA DE VACACIONES         ;S;
60;COMPLEJOS DEPORTIVOS          ;S;
61;DECORACION                    ;S;
62;DISCOS                        ;S;
63;DEPOSITO                      ;S;
64;DIETETICOS                    ;S;
65;DESPENSA                      ;S;
66;DISTRIBUIDOR                  ;S;
67;DROGUERIA                     ;S;
68;DEPORTES                      ;S;
69;ESCUELA                       ;S;
70;ENTID. FINANCIERA             ;S;
71;ELECTRICIDAD                  ;S;
73;EMISORA DE RADIO              ;S;
74;EMPAQUE                       ;S;
76;ENTRETENIMIENTOS              ;S;
77;ESTACION DE SERVICIO          ;S;
78;ENFERMERIA                    ;S;
79;ENVASES                       ;S;
80;ELECTRONICA                   ;S;
81;ALIM.P/MASCOTAS               ;S;
82;FABRICAS VARIAS               ;S;
83;FARMACIA                      ;S;
84;FERRETERIA                    ;S;
85;FIAMBRERIA                    ;S;
86;FLORERIA                      ;S;
87;FORRAJES                      ;S;
88;FRACCIONADORA                 ;S;
89;FRIGORIFICO                   ;S;
90;FOTOGRAFIAS                   ;S;
91;FOTOCOPIAS                    ;S;
92;FERTILIZANTES Y PLAGUICIDAS   ;S;
94;FUNDACION                     ;S;
96;GALPON                        ;S;
99;GESTORIA                      ;S;
100;GAS ENVASADO                  ;S;
101;GOMERIA                       ;S;
102;GRANJAS                       ;S;
103;GUARDERIA                     ;S;
104;GRABADOS                      ;S;
105;GOMAS                         ;S;
106;GIMNASIO                      ;S;
107;GERIATRICO                    ;S;
108;GRAFICA                       ;S;
110;CANON TAXIS                   ;S;
111;HELADERIA                     ;S;
114;HOTEL                         ;S;
115;HOSPEDAJE                     ;S;
116;HORNO DE LADRILLOS            ;S;
117;HERBORISTERIA                 ;S;
120;INTERNET                      ;S;
121;IMPRENTA                      ;S;
122;INQUILINATO                   ;S;
123;INMOBILIARIA                  ;S;
124;INSTITUTO                     ;S;
128;INSUMOS HOSPITALARIOS         ;S;
129;INSUMOS DE COMPUTACION        ;S;
130;JOYERIA                       ;S;
131;JARDINERIA                    ;S;
132;JUGUETERIA                    ;S;
133;JARDIN DE INFANTES            ;S;
134;KIOSCO                        ;S;
136;LABORATORIO                   ;S;
137;LANAS                         ;S;
138;LENCERIA                      ;S;
139;LAVADERO                      ;S;
140;LE/A                          ;S;
141;LIBROS                        ;S;
142;LIBRERIA                      ;S;
143;LIMPIEZA                      ;S;
144;LOTERIA                       ;S;
145;VTA. DE LUBRICANTES           ;S;
147;LOCUTORIO                     ;S;
149;MARMOLERIA                    ;S;
150;MAQUINARIAS                   ;S;
151;MOTOCICLETAS                  ;S;
152;MAYORISTA                     ;S;
153;MADERAS                       ;S;
154;MERCERIA                      ;S;
156;MARROQUINERIA                 ;S;
158;MUSICALES                     ;S;
159;MENSAJERIA                    ;S;
160;MUEBLERIA                     ;S;
161;MATERIALES DE CONSTRUCCION    ;S;
162;MINISHOPPING                  ;S;
163;METALURGICA                   ;S;
164;NATATORIO                     ;S;
167;OFICINA                       ;S;
168;ORTOPEDIA                     ;S;
169;OPTICA                        ;S;
171;PAPELERIA                     ;S;
172;PANADERIA -VENTA-             ;S;
173;PEDICUROS                     ;S;
174;PISOS = CERAMICOS             ;S;
175;PROVEEDURIA                   ;S;
176;PANADERIA -FABRICA-           ;S;
178;PLASTICOS                     ;S;
179;PELUQUERIA                    ;S;
180;PASAJES                       ;S;
182;PERFUMERIA                    ;S;
184;PINTURERIA                    ;S;
185;PESCADERIA                    ;S;
186;PUBLICIDAD                    ;S;
188;PLAYA DE ESTACIONAMIENTO      ;S;
190;P.SERV.MINICIPALES DE RIEGO   ;S;
192;PLANTAS                       ;S;
193;PA/ALERA                      ;S;
194;PARRILLA                      ;S;
196;PIZZERIA                      ;S;
197;QUINIELA                      ;S;
198;REGALOS                       ;S;
199;RELOJERIA                     ;S;
202;REPUESTOS                     ;S;
203;ROPA                          ;S;
204;ALOJ.ESTUDIANTIL              ;S;
205;RESTAURANT                    ;S;
206;ROTISERIA                     ;S;
207;REFRIGERACION                 ;S;
208;REPARACIONES                  ;S;
211;SALA VELATORIA                ;S;
212;SANDWICHERIA                  ;S;
213;SANATORIO                     ;S;
214;SEGURIDAD                     ;S;
216;SEDERIA                       ;S;
217;SEGUROS                       ;S;
218;SEMILLERIA                    ;S;
219;SIDRERA                       ;S;
220;SODERIA                       ;S;
221;SUPERMERCADO                  ;S;
222;SUB AGENCIA QUINIELA-LOT.Y PRO;S;
901;ESTÉTICA DEL AUTOMOTOR.;S;
902;(PRESTADOR DE SERVICIO) INSTALACION DE LA ALARMA;S;
909;PLANTA DE SECADO DE  FRUTAS;S;
911;PREST DE SERVICIOS DE INSUMOS DE ENERGIAS RENOVABLES;S;
912;PRESTADOR DE SERVICIOS ALQUILER DE TRÁILERES;S;
903;CARRO PANCHERO;S;
904;PELUQUERIA  CANINA;S;
906;PRESTADOR DE SERVICIO -SERVICIO MUSICALES;S;
907;VENTA DE ARTICULOS PARA MUJER;S;
908;VENTA Y RECARGA DE EXTINTORES;S;
917;VENTA INDUMENTARIA;S;
918;ELABORACIÓN DE MILANESA DE POLLO;S;
919;PRESTADOR DE SERVICIO- S/ LOCAL (RECOLECCION DE EXCRETAS - ORINA);S;
928;PRESADOR DE SERVICIO DECORACIÓN CON VINILOS;S;
929;P. SERVICIOS MANTENIMIENTO - REPARACION DE MAQUINAS Y EQUIPOS S/LOCAL;S;
932;TALLER DE SERVICIO PARA REPARACIÓN DE MAQUINAS;S;
938;P.SEV SIN LOCAL - PROFESOR DE KARATE;S;
940;P.SERV  DISEÑO DE ESPACIO VERDE- JARDINERÍA  Y MANTENIMIENTO;S;
946;ELABORACIÓN Y VENTA DE PASTELERÍA;S;
947;ELABORACIÓN Y VENTAS DE ENSALADAS Y TARTAS;S;
948;P.SERV  CAPACITACIÓN DE MANEJO DEFENSIVO Y SEGURIDAD VIAL;S;
950;VTA DE PRODUCTOS ORGANICOS Y ECOLOGICOS PARA HIGIENE PERSONAL VTA ARTICULO DE DECORACION;S;
951;ELABORACION DE AHUMADOS;S;
955;VENTA DE LEÑA;S;
959;BOTIQUÍN DE FARMACIA;S;
961;TABAQUERÍA;S;
962;VENTA MINORISTA DE HUEVOS;S;
966;PAÑALERA;S;
968;P.SERV SIN LOCAL - SERVICIO DE CERRAJERIA;S;
905;VENTA DE ACCESORIO PARA CELULAR;S;
914;PREST SERV - PELUQUERIA CANINA MOVIL;S;
915;OFICINA DE COBRO (RAPI PAGO - PAGO FACIL);S;
920;AGENCIA DE CAMBIO DE MONEDA;S;
922;VENTA ACEITE DE OLIVA Y DERIVADOS;S;
925;PRESTADOR DE SERV INSTRUMENTOS MUSICALES;S;
927;FABRICA DE PASTAS;S;
931;VENTA DE ARTICULO DE COPETIN;S;
933;PRESTADOR DE SERVICIO SIN LOCAL - RECOLECTOR DE ACEITE ORGANICO - VEGETAL;S;
934;P.SERVICIO S/ LOCAL - PODA Y DESMALEZAMIENTO;S;
935;P.SERVICIO S/LOCAL- CONSULTORA Y SERVICIOS AMBIENTALES;S;
936;PRESTADOR DE SERVICIO SIN LOCAL - DISTRIBUIDOR DE LEÑA Y ART DE LIMPIEZA;S;
939;VENTA DE INSUMO PARA RESPOSTERÍA Y PANADERIA;S;
941;LABORATORIO DE TOXICOLOGÍA  FORENSE;S;
943;P.SERVICIO  MANTENIMIENTO Y SERVICIO EN PLASTICO;S;
945;SERVICIO DE INSERCIÓN FAMILIAR DE ADULTOS MAYORES;S;
953;VTA Y DISTRIBUCIÓN DE CRISTALES OFTALMOLÓGICOS;S;
954;VENTA DE HIELO Y AGUA ENVASADO DE ORIGEN;S;
956;EQUIPAMIENTOS DE MOTORHOME;S;
957;VENTA DE REVESTIMIENTO PARA INTERIOR Y EXTERIOR DE PIEDRAS NATURALES;S;
958;CONSULTORA;S;
910;PRESTADOR DE SERVICIO- VENTA DE RESPUESTOS PARA AUTOMOTORES;S;
913;PREST SERV - CAPACITACIÓN VIRTUAL;S;
916;CENTRO DE TERAPIA ALTERNATIVA;S;
921;P.SERV. CONTRATACIÓN A TERCERO;S;
923;P.SERV  SEGURIDAD E  HIGIENE;S;
924;P. SERV. ASESOR FISCALIZACIÒN MUNICIPIO;S;
926;LAVADERO DE AUTO;S;
930;VENTA DE ACCESORIOS DE MODA;S;
937;VENTA DE ALFAJORES Y PRODUCTOS ARTESANALES ELABORADOS;S;
942;CAFETERIA;S;
944;P.SERV S/LOCAL -ALQUILER DE EQUIPO DE PERFORACIÓN PARA AGUA;S;
949;LABORATORIO MOVIL PARA HISOPADOS;S;
952;PATIO GASTRONÓMICO SIN ESPECTÁCULOS MUSICALES;S;
960;P.SERV S/LOCAL- REPARTO DE AGUA;S;
963;SERVICIOS PETROLEROS;S;
964;ESTABLECIEMTO ELABORADOR DE AGUA ENSADA;S;
965;CENTRO DE YOGA Y MEDITACIÓN;S;
967;CENTRO DE DIAGNOSTICO  Y ATENCION TERAPEUTICO;S;
969;SALA DE FRACCIONAMIENTO Y ENVASADO;S;
224;SALON DE FIESTA               ;S;
226;TALLER                        ;S;
227;TAPICERIA                     ;S;
229;TIENDA                        ;S;
230;TINTORERIA                    ;S;
231;TRANSPORTES                   ;S;
232;TURISMO                       ;S;
233;TELEFONIA                     ;S;
234;TORNERIA                      ;S;
235;TRATAMIENTO DE AGUA           ;S;
236;TALLER DE COSTURA             ;S;
237;VIDRIERIA                     ;S;
238;VETERINARIA                   ;S;
239;VERDULERIA                    ;S;
240;VINERIA                       ;S;
241;VIVERO                        ;S;
242;VTA. DE NEUMATICOS            ;S;
243;VTA. DE EQUIPOS DE GAS        ;S;
244;VTA. DE ARIDOS                ;S;
245;VENTA DE COLCHONES            ;S;
246;ZAPATERIA                     ;S;
247;ZAPATILLERIA                  ;S;
251;COMEDOR ESCOLAR               ;S;
252;KARTODROMO                    ;S;
301;LABORATORIO DE ANALISIS       ;S;
302;ESTUDIO CONTABLE              ;S;
303;ESTUDIO JURIDICO              ;S;
304;CENTRO MEDICO                 ;S;
305;KINESIOLOGOS                  ;S;
307;CONSULTORIO MEDICO            ;S;
308;CONSULTORIO ODONTOLOGICO      ;S;
309;ESCRIBANIA                    ;S;
311;ARQUITECTOS                   ;S;
314;AGRIMENSORES                  ;S;
316;PSICOLOGOS                    ;S;
318;CENTRO DE ESTETICA            ;S;
320;CONS.FONOAUDIOLOGIA           ;S;
321;P.SERV.TRANS.PERSONAS         ;S;
322;P.SERV.ALQUI.VEHICULOS        ;S;
323;P.SERV.SONIDO E ILUMINAC.     ;S;
324;P.SERV.PUBLICIDAD             ;S;
325;P.SERV.CARGAS GENERALES       ;S;
326;P.SERV.CTROL.PLAGAS           ;S;
327;P.SERV.FOTOG.VIDEO            ;S;
329;P.SERV.MENSAJERIA             ;S;
331;P.SERV.ALQ.CONTENEDORES       ;S;
332;P.SERV.CONSTRUCCION           ;S;
333;P.SERV.AGRIMENSURA            ;S;
334;P.SERV.VTA DIARIOS Y REV.     ;S;
335;P.SERV.PLOMERIA               ;S;
336;P.SERV.AUTOMOVILES            ;S;
337;P.SERV.VTA.E.X INTERNET       ;S;
338;P.SERV.EMERG.MEDICAS          ;S;
339;P.SERV.TURISTICOS             ;S;
340;P.SERV.MANTE.ELECTRICIDAD     ;S;
341;P.SERV.PROVIS.LE/A            ;S;
342;P.SERV.OFIC.ADMINISTRATIVA    ;S;
343;P.SERV.POSTAL Y TELEGRAFIA    ;S;
344;P.SERV.ARQUIT.PLANOS          ;S;
345;P.SERV.TAXIFLET               ;S;
346;P.SERV.INST.GAS AGUA          ;S;
347;P.SERV.TALLER MECANICO        ;S;
348;P.SERV.VTA.CATALOGO           ;S;
349;P.SERV.VTA.MAY.PRODUCTOS      ;S;
350;P.SERV.ATMOSFERICOS;S;
351;P.SERV.SOLDADURAS             ;S;
352;P.SERV.ASESORAMIENTOS         ;S;
353;P.SERV.VTA.HERRAMIENTAS       ;S;
354;P.SERV.PERIODISTICO           ;S;
355;P.SERV.ALQ.MAQUINARIAS        ;S;
356;P.SERV.EMBARC.ACT.RECREATIVAS ;S;
357;P.SERV.AUDIO VIDEO            ;S;
359;P.SERV.TRANS.VTA.ARIDOS       ;S;
360;P.SERV.REFRIG.CALEFACCION     ;S;
362;P.SERV.ORG.Y AMB.EVENTOS      ;S;
363;P.SERV.ALQ.CARTELERIA         ;S;
364;P.SERV.EMPRESA SERVICIOS      ;S;
365;P.SERV.PROFESIONALES          ;S;
366;P.SERV.INSUMOS COMPUTACION    ;S;
367;P.SERV.REFRIGERIOS            ;S;
368;P.SERV.DE COSTURAS            ;S;
369;P.SERV.ENCOMIENDAS            ;S;
370;P.SERV.GRAFICOS               ;S;
371;P.SERV.GASTRONOMIA            ;S;
373;P.SERV.METALURGICOS           ;S;
374;P.SERV.DE ARCILLA             ;S;
375;P.SERV.TELECOMUNICACIONES     ;S;
376;P.SERV.EDUCATIVOS             ;S;
377;P.SERV.BA/OS QUIMICOS         ;S;
378;P.SERV.DISE/OS ADMINISTRACION ;S;
379;P.SERV.TRASL.MASCOTAS         ;S;
380;CANCHAS DE FUTBOL             ;S;
381;SERV. ILUM. P/PETROLERAS      ;S;
382;GABINETE TERAPEUTICO          ;S;
383;GLOBA PARA EVENTOS            ;S;
384;ELAB. DE HIELO                ;S;
385;VTA Y REPARAC. LANCHAS        ;S;
386;P.SERV.INSUMOS DESCART.MEDICOS;S;
387;P.SERV ALQ VAJILLA            ;S;
388;VTA. PILETAS                  ;S;
389;P.SERV TRASL RESTOS OSEOS     ;S;
390;P.SERV. VTA ROPA-ACCESORIOS   ;S;
391;VTA. PRODUCTOS COSMETICA      ;S;
392;VTA. BEBIDAS DESTILADAS       ;S;
399;CANCHAS PADDLE                ;S;
400;ESCUELA DE CANTO              ;S;
401;P.SERV. ALQ OFIC MOVILES      ;S;
457;SALON CAPACITACION            ;S;
458;CASA DE SALUD                 ;S;
459;COMPLEJO RECREATIVO           ;S;
570;VTA.POLLOS/MILANESAS          ;S;
601;R.RESID.PATOGENOS             ;S;
602;PELOTERO                      ;S;
603;INSTITUTO DE BELLEZA          ;S;
604;INSTITUTO DE IDIOMAS          ;S;
